epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,15509.5,1.22224,0.57126,1.48566,0.86455,0.74274,0.81519,0.50259,1.2847,0.61492,1.69433,0.000428093,0.000428093,0.000428093
72,15663.7,1.22461,0.56668,1.47814,0.85439,0.74509,0.8158,0.50523,1.28114,0.61222,1.68923,0.000403222,0.000403222,0.000403222
73,15796.1,1.22705,0.57172,1.4918,0.85988,0.74678,0.81622,0.50448,1.28046,0.6094,1.68882,0.00037895,0.00037895,0.00037895
74,17289.3,1.21911,0.56642,1.49178,0.8574,0.75005,0.81555,0.50463,1.27762,0.60691,1.68793,0.000355301,0.000355301,0.000355301
75,17435.4,1.22177,0.57034,1.48531,0.84975,0.7544,0.81591,0.50533,1.27559,0.60406,1.68605,0.000332298,0.000332298,0.000332298
76,17588.9,1.21721,0.57041,1.48403,0.84111,0.75807,0.81701,0.50648,1.27233,0.60092,1.68351,0.000309964,0.000309964,0.000309964
77,17751.5,1.21699,0.56345,1.4809,0.85004,0.75452,0.81743,0.5073,1.27267,0.60197,1.68234,0.000288321,0.000288321,0.000288321
78,17893.6,1.21488,0.56382,1.48161,0.85083,0.75308,0.81692,0.50754,1.27428,0.60224,1.68276,0.00026739,0.00026739,0.00026739
79,18043.2,1.21738,0.56146,1.47479,0.85614,0.75054,0.8166,0.50776,1.27603,0.60303,1.68327,0.000247192,0.000247192,0.000247192
80,18265.5,1.2038,0.55103,1.47261,0.85938,0.75016,0.81881,0.5084,1.27596,0.60429,1.68242,0.000227747,0.000227747,0.000227747
81,18435.9,1.19966,0.5568,1.47827,0.85418,0.75408,0.81799,0.50842,1.27563,0.60376,1.68227,0.000209073,0.000209073,0.000209073
82,18561.8,1.20554,0.55373,1.46994,0.85633,0.752,0.81862,0.50822,1.274,0.60266,1.68156,0.00019119,0.00019119,0.00019119
83,19964.4,1.20395,0.55297,1.47103,0.8535,0.75295,0.81808,0.50772,1.27347,0.6019,1.68149,0.000174115,0.000174115,0.000174115
84,20105.5,1.21172,0.55504,1.47842,0.85212,0.75457,0.81738,0.50743,1.27318,0.6013,1.68062,0.000157865,0.000157865,0.000157865
85,20261.1,1.20922,0.55895,1.48232,0.85332,0.7545,0.81796,0.50822,1.27225,0.59988,1.67949,0.000142456,0.000142456,0.000142456
86,20422.3,1.19537,0.54574,1.47157,0.85244,0.75407,0.81694,0.50851,1.27143,0.59958,1.67931,0.000127904,0.000127904,0.000127904
87,20622.5,1.19919,0.55038,1.46979,0.85521,0.755,0.81802,0.50843,1.27047,0.59938,1.67812,0.000114221,0.000114221,0.000114221
88,20882.6,1.19707,0.54732,1.47285,0.85481,0.75514,0.81821,0.50872,1.2697,0.5979,1.67794,0.000101423,0.000101423,0.000101423
89,21036.6,1.1988,0.55206,1.46642,0.85955,0.75285,0.81835,0.50906,1.26905,0.59716,1.67721,8.95213e-05,8.95213e-05,8.95213e-05
90,21172.2,1.19488,0.54744,1.4681,0.86185,0.75117,0.81792,0.50881,1.26868,0.59612,1.67671,7.8528e-05,7.8528e-05,7.8528e-05
91,22858.7,1.16319,0.4973,1.46059,0.86455,0.74807,0.8182,0.50913,1.26769,0.59578,1.67562,6.8454e-05,6.8454e-05,6.8454e-05
92,23023.2,1.15747,0.49313,1.45928,0.86208,0.74777,0.81742,0.50876,1.26723,0.59471,1.67573,5.93093e-05,5.93093e-05,5.93093e-05
93,23173.1,1.15292,0.49271,1.45155,0.85793,0.74881,0.81698,0.50848,1.2666,0.59388,1.67581,5.11027e-05,5.11027e-05,5.11027e-05
94,23316.6,1.1652,0.4915,1.45691,0.85642,0.74896,0.81703,0.5091,1.26635,0.59352,1.67586,4.38424e-05,4.38424e-05,4.38424e-05
95,23621.8,1.156,0.48787,1.44995,0.85594,0.74931,0.81707,0.50918,1.26575,0.59337,1.67596,3.75356e-05,3.75356e-05,3.75356e-05
96,23757.4,1.15537,0.49056,1.45444,0.85354,0.75028,0.81674,0.5092,1.26533,0.59354,1.67551,3.21885e-05,3.21885e-05,3.21885e-05
97,23939.7,1.15645,0.48722,1.45193,0.85376,0.75056,0.81679,0.50935,1.26505,0.59323,1.67548,2.78064e-05,2.78064e-05,2.78064e-05
98,24105.6,1.15296,0.49197,1.45174,0.85341,0.74945,0.81664,0.50986,1.26476,0.59285,1.67536,2.43937e-05,2.43937e-05,2.43937e-05
99,24266.9,1.15572,0.48635,1.4548,0.85455,0.74883,0.81687,0.50984,1.26459,0.59251,1.67538,2.19535e-05,2.19535e-05,2.19535e-05
100,24780.6,1.15395,0.49113,1.44984,0.85547,0.74702,0.81648,0.50999,1.26436,0.59257,1.67537,2.04885e-05,2.04885e-05,2.04885e-05
